yr_death,lst_yr_growth,site,plot,no_dead_plot,no_dead_site
1984,1983,1021,61,1,1
1987,1986,1021,61,1,1
1996,1995,1021,62,1,1
1998,1997,1021,62,2,2
2002,2001,1021,63,1,1
2004,2003,1021,63,2,2
2009,2008,1021,61,1,1
2010,2009,1021,63,1,1
2001,2000,1031,92,1,1
2003,2002,1031,91,1,1
2005,2004,1031,91,1,2
2005,2004,1031,92,1,NA
2006,2005,1031,93,1,1
2007,2006,1031,91,1,1
2008,2007,1031,93,1,2
2008,2007,1031,92,1,NA
2013,2012,1031,93,1,1
2014,2013,1031,91,1,1
1991,1990,1032,95,1,1
2001,2000,1032,96,1,1
2003,2002,1032,96,1,2
2003,2002,1032,95,1,NA
2004,2003,1032,94,1,2
2004,2003,1032,96,1,NA
2006,2005,1032,95,1,1
2007,2006,1032,94,2,2
2009,2008,1032,95,1,1
1996,1995,1067,200,1,1
1997,1996,1067,200,1,2
1997,1996,1067,201,1,NA
2000,1999,1067,200,1,1
2001,2000,1067,199,1,1
2002,2001,1067,201,1,1
2004,2003,1067,201,1,2
2004,2003,1067,199,1,NA
2005,2004,1067,200,1,1
2006,2005,1067,201,1,1
1986,1985,1079,233,1,1
1998,1997,1079,233,1,1
1998,1997,1079,233,1,1
2000,1999,1079,233,1,1
2001,2000,1079,233,1,1
2003,2002,1079,233,3,3
2004,2003,1079,233,2,2
2005,2004,1079,233,1,1
2007,2006,1079,233,1,1
2012,2011,1079,233,1,1
1994,1993,1101,298,1,1
1995,1994,1101,299,1,1
1998,1997,1101,298,1,2
1998,1997,1101,300,1,NA
1999,1998,1101,298,1,1
2000,1999,1101,299,1,1
2002,2001,1101,299,1,1
2003,2002,1101,299,1,1
2004,2003,1101,300,1,NA
2004,2003,1101,298,1,3
2004,2003,1101,300,1,NA
2008,2007,1101,300,1,1
1989,1988,1104,308,1,1
2002,2001,1104,307,1,1
2003,2002,1104,308,2,2
2005,2004,1104,307,1,1
2007,2006,1104,309,1,1
2008,2007,1104,308,1,2
2008,2007,1104,307,1,NA
2009,2008,1104,307,1,1
2010,2009,1104,309,2,2
2012,2011,1104,309,1,1
2001,2000,1033,99,1,1
2002,2001,1033,98,1,1
2004,2003,1033,98,1,1
2005,2004,1033,99,1,1
2006,2005,1033,97,1,2
2006,2005,1033,98,1,NA
2007,2006,1033,98,1,1
2008,2007,1033,97,2,2
2009,2008,1033,99,1,1
2011,2010,1033,99,1,1
